Team 1,Team 2,Odds 1,Odds 2,Year
Royal Challengers Bengaluru,Punjab Kings,1.79,2.00,2019
Chennai Super Kings,Sunrisers Hyderabad,1.60,2.28,2019
Rajasthan Royals,Delhi Capitals,2.22,1.64,2019
Royal Challengers Bengaluru,Chennai Super Kings,2.16,1.66,2019
Sunrisers Hyderabad,Kolkata Knight Riders,1.76,2.02,2019
Delhi Capitals,Punjab Kings,1.63,2.22,2019
Rajasthan Royals,Mumbai Indians,2.43,1.52,2019
Kolkata Knight Riders,Royal Challengers Bengaluru,1.51,2.51,2019
Delhi Capitals,Mumbai Indians,1.95,1.83,2019
Sunrisers Hyderabad,Chennai Super Kings,1.71,2.08,2019
Punjab Kings,Rajasthan Royals,1.84,1.96,2019
Mumbai Indians,Royal Challengers Bengaluru,1.60,2.29,2019
Sunrisers Hyderabad,Delhi Capitals,1.65,2.19,2019
Kolkata Knight Riders,Chennai Super Kings,1.89,1.89,2019
Punjab Kings,Royal Challengers Bengaluru,1.98,1.79,2019
Mumbai Indians,Rajasthan Royals,1.60,2.30,2019
Kolkata Knight Riders,Delhi Capitals,1.79,1.98,2019
Rajasthan Royals,Chennai Super Kings,2.31,1.58,2019
Mumbai Indians,Punjab Kings,1.61,2.26,2019
Chennai Super Kings,Kolkata Knight Riders,1.72,2.08,2019
Punjab Kings,Sunrisers Hyderabad,2.04,1.74,2019
Rajasthan Royals,Kolkata Knight Riders,2.28,1.60,2019
Royal Challengers Bengaluru,Delhi Capitals,1.69,2.09,2019
Sunrisers Hyderabad,Mumbai Indians,1.75,2.04,2019
Chennai Super Kings,Punjab Kings,1.70,2.09,2019
Royal Challengers Bengaluru,Kolkata Knight Riders,2.06,1.72,2019
Delhi Capitals,Sunrisers Hyderabad,2.19,1.65,2019
Mumbai Indians,Chennai Super Kings,1.86,1.91,2019
Rajasthan Royals,Royal Challengers Bengaluru,1.98,1.79,2019
Punjab Kings,Delhi Capitals,2.18,1.66,2019
Chennai Super Kings,Rajasthan Royals,1.71,2.10,2019
Sunrisers Hyderabad,Royal Challengers Bengaluru,1.82,1.96,2019
Delhi Capitals,Kolkata Knight Riders,1.88,1.89,2019
Punjab Kings,Mumbai Indians,2.13,1.69,2019
Sunrisers Hyderabad,Rajasthan Royals,1.61,2.26,2019
Royal Challengers Bengaluru,Mumbai Indians,1.86,1.92,2019
Kolkata Knight Riders,Punjab Kings,1.70,2.10,2019
Delhi Capitals,Chennai Super Kings,2.05,1.73,2019
Rajasthan Royals,Punjab Kings,1.68,2.14,2019
Mumbai Indians,Delhi Capitals,1.63,2.23,2019
Kolkata Knight Riders,Sunrisers Hyderabad,1.62,2.25,2019
Chennai Super Kings,Royal Challengers Bengaluru,1.71,2.08,2019
Chennai Super Kings,Sunrisers Hyderabad,1.64,2.20,2018
Kolkata Knight Riders,Sunrisers Hyderabad,1.66,2.18,2018
Kolkata Knight Riders,Rajasthan Royals,1.53,2.50,2018
Sunrisers Hyderabad,Chennai Super Kings,2.13,1.68,2018
Chennai Super Kings,Punjab Kings,1.73,2.05,2018
Delhi Capitals,Mumbai Indians,2.69,1.44,2018
Sunrisers Hyderabad,Kolkata Knight Riders,2.30,1.61,2018
Rajasthan Royals,Royal Challengers Bengaluru,3.04,1.36,2018
Delhi Capitals,Chennai Super Kings,2.31,1.57,2018
Royal Challengers Bengaluru,Sunrisers Hyderabad,1.64,2.20,2018
Mumbai Indians,Punjab Kings,1.67,2.15,2018
Kolkata Knight Riders,Rajasthan Royals,1.57,2.37,2018
Punjab Kings,Royal Challengers Bengaluru,1.96,1.80,2018
Mumbai Indians,Rajasthan Royals,1.57,2.37,2018
Chennai Super Kings,Sunrisers Hyderabad,1.72,2.10,2018
Delhi Capitals,Royal Challengers Bengaluru,2.37,1.57,2018
Punjab Kings,Kolkata Knight Riders,1.95,1.82,2018
Rajasthan Royals,Chennai Super Kings,2.10,1.72,2018
Delhi Capitals,Sunrisers Hyderabad,2.03,1.75,2018
Kolkata Knight Riders,Mumbai Indians,1.80,2.00,2018
Rajasthan Royals,Punjab Kings,2.30,1.61,2018
Sunrisers Hyderabad,Royal Challengers Bengaluru,2.10,1.72,2018
Punjab Kings,Rajasthan Royals,1.61,2.25,2018
Mumbai Indians,Kolkata Knight Riders,1.87,1.87,2018
Sunrisers Hyderabad,Delhi Capitals,1.57,2.37,2018
Chennai Super Kings,Royal Challengers Bengaluru,1.96,1.80,2018
Punjab Kings,Mumbai Indians,1.88,1.88,2018
Kolkata Knight Riders,Chennai Super Kings,1.82,1.98,2018
Delhi Capitals,Rajasthan Royals,1.73,2.05,2018
Royal Challengers Bengaluru,Mumbai Indians,2.20,1.66,2018
Chennai Super Kings,Delhi Capitals,1.80,2.00,2018
Royal Challengers Bengaluru,Kolkata Knight Riders,1.97,1.83,2018
Rajasthan Royals,Sunrisers Hyderabad,2.13,1.71,2018
Chennai Super Kings,Mumbai Indians,1.98,1.84,2018
Delhi Capitals,Kolkata Knight Riders,2.45,1.54,2018
Sunrisers Hyderabad,Punjab Kings,2.10,1.72,2018
Royal Challengers Bengaluru,Chennai Super Kings,2.00,1.80,2018
Mumbai Indians,Sunrisers Hyderabad,1.55,2.46,2018
Punjab Kings,Delhi Capitals,1.69,2.15,2018
Rajasthan Royals,Mumbai Indians,2.36,1.59,2018
Sunrisers Hyderabad,Chennai Super Kings,2.00,1.80,2018
Delhi Capitals,Royal Challengers Bengaluru,2.40,1.58,2018
Kolkata Knight Riders,Punjab Kings,1.73,2.08,2018
Chennai Super Kings,Rajasthan Royals,1.71,2.13,2018
Punjab Kings,Sunrisers Hyderabad,1.92,1.88,2018
Rajasthan Royals,Kolkata Knight Riders,2.37,1.57,2018
Mumbai Indians,Royal Challengers Bengaluru,1.96,1.86,2018
Kolkata Knight Riders,Delhi Capitals,1.69,2.15,2018
Punjab Kings,Chennai Super Kings,1.90,1.90,2018
Royal Challengers Bengaluru,Rajasthan Royals,1.51,2.57,2018
Kolkata Knight Riders,Sunrisers Hyderabad,1.83,2.00,2018
Mumbai Indians,Delhi Capitals,1.64,2.25,2018
Royal Challengers Bengaluru,Punjab Kings,1.53,2.50,2018
Sunrisers Hyderabad,Mumbai Indians,1.82,2.01,2018
Rajasthan Royals,Delhi Capitals,2.13,1.71,2018
Chennai Super Kings,Kolkata Knight Riders,1.95,1.85,2018
Sunrisers Hyderabad,Rajasthan Royals,1.58,2.40,2018
Kolkata Knight Riders,Royal Challengers Bengaluru,2.18,1.68,2018
Delhi Capitals,Punjab Kings,2.05,1.76,2018
Mumbai Indians,Chennai Super Kings,1.80,2.00,2018
Rising Pune Supergiant,Mumbai Indians,2.14,1.74,2017
Mumbai Indians,Kolkata Knight Riders,1.74,2.09,2017
Sunrisers Hyderabad,Kolkata Knight Riders,2.25,1.63,2017
Mumbai Indians,Rising Pune Supergiant,1.54,2.44,2017
Delhi Capitals,Royal Challengers Bengaluru,1.89,1.90,2017
Rising Pune Supergiant,Punjab Kings,1.80,2.00,2017
Kolkata Knight Riders,Mumbai Indians,1.79,2.00,2017
Gujarat Lions,Sunrisers Hyderabad,2.23,1.64,2017
Delhi Capitals,Rising Pune Supergiant,2.13,1.70,2017
Mumbai Indians,Punjab Kings,1.61,2.27,2017
Gujarat Lions,Delhi Capitals,1.91,1.88,2017
Punjab Kings,Kolkata Knight Riders,2.29,1.60,2017
Sunrisers Hyderabad,Mumbai Indians,1.88,1.91,2017
Punjab Kings,Gujarat Lions,1.67,2.19,2017
Royal Challengers Bengaluru,Kolkata Knight Riders,2.08,1.73,2017
Delhi Capitals,Mumbai Indians,1.92,1.87,2017
Sunrisers Hyderabad,Rising Pune Supergiant,1.64,2.23,2017
Royal Challengers Bengaluru,Punjab Kings,1.75,2.06,2017
Delhi Capitals,Gujarat Lions,1.93,1.86,2017
Kolkata Knight Riders,Rising Pune Supergiant,1.96,1.82,2017
Delhi Capitals,Sunrisers Hyderabad,2.26,1.61,2017
Rising Pune Supergiant,Gujarat Lions,1.76,2.05,2017
Mumbai Indians,Royal Challengers Bengaluru,1.68,2.19,2017
Sunrisers Hyderabad,Kolkata Knight Riders,1.97,1.82,2017
Punjab Kings,Delhi Capitals,1.69,2.14,2017
Gujarat Lions,Mumbai Indians,2.10,1.72,2017
Rising Pune Supergiant,Royal Challengers Bengaluru,2.15,1.69,2017
Punjab Kings,Sunrisers Hyderabad,1.99,1.79,2017
Kolkata Knight Riders,Delhi Capitals,1.61,2.27,2017
Royal Challengers Bengaluru,Gujarat Lions,1.70,2.13,2017
Rising Pune Supergiant,Kolkata Knight Riders,2.10,1.73,2017
Royal Challengers Bengaluru,Sunrisers Hyderabad,1.68,2.15,2017
Mumbai Indians,Rising Pune Supergiant,1.64,2.25,2017
Kolkata Knight Riders,Royal Challengers Bengaluru,2.03,1.76,2017
Gujarat Lions,Punjab Kings,1.66,2.19,2017
Mumbai Indians,Delhi Capitals,1.63,2.23,2017
Rising Pune Supergiant,Sunrisers Hyderabad,1.82,1.94,2017
Kolkata Knight Riders,Gujarat Lions,1.82,1.95,2017
Punjab Kings,Mumbai Indians,2.26,1.63,2017
Sunrisers Hyderabad,Delhi Capitals,1.72,2.12,2017
Gujarat Lions,Royal Challengers Bengaluru,1.82,1.96,2017
Sunrisers Hyderabad,Punjab Kings,1.82,1.99,2017
Delhi Capitals,Kolkata Knight Riders,2.06,1.75,2017
Royal Challengers Bengaluru,Rising Pune Supergiant,1.49,2.60,2017
Mumbai Indians,Gujarat Lions,1.66,2.21,2017
Delhi Capitals,Punjab Kings,2.06,1.73,2017
Kolkata Knight Riders,Sunrisers Hyderabad,2.08,1.75,2017
Gujarat Lions,Rising Pune Supergiant,1.63,2.25,2017
Royal Challengers Bengaluru,Mumbai Indians,1.71,2.08,2017
Kolkata Knight Riders,Punjab Kings,1.66,2.18,2017
Mumbai Indians,Sunrisers Hyderabad,1.77,2.05,2017
Rising Pune Supergiant,Delhi Capitals,1.63,2.26,2017
Punjab Kings,Royal Challengers Bengaluru,2.03,1.76,2017
Mumbai Indians,Kolkata Knight Riders,1.72,2.08,2017
Sunrisers Hyderabad,Gujarat Lions,1.64,2.24,2017
Royal Challengers Bengaluru,Delhi Capitals,1.61,2.27,2017
Punjab Kings,Rising Pune Supergiant,2.00,1.76,2017
Gujarat Lions,Kolkata Knight Riders,1.71,2.11,2017
Rising Pune Supergiant,Mumbai Indians,1.72,2.08,2017
Sunrisers Hyderabad,Royal Challengers Bengaluru,1.69,2.15,2017
Royal Challengers Bengaluru,Sunrisers Hyderabad,1.55,2.44,2016
Gujarat Lions,Sunrisers Hyderabad,1.76,2.05,2016
Sunrisers Hyderabad,Kolkata Knight Riders,2.03,1.77,2016
Gujarat Lions,Royal Challengers Bengaluru,2.35,1.59,2016
Delhi Capitals,Royal Challengers Bengaluru,2.69,1.47,2016
Kolkata Knight Riders,Sunrisers Hyderabad,2.01,1.82,2016
Gujarat Lions,Mumbai Indians,1.84,1.97,2016
Rising Pune Supergiant,Punjab Kings,1.64,2.25,2016
Delhi Capitals,Sunrisers Hyderabad,2.00,1.80,2016
Gujarat Lions,Kolkata Knight Riders,1.64,2.25,2016
Royal Challengers Bengaluru,Punjab Kings,1.40,2.94,2016
Rising Pune Supergiant,Delhi Capitals,1.90,1.90,2016
Kolkata Knight Riders,Royal Challengers Bengaluru,2.30,1.61,2016
Mumbai Indians,Delhi Capitals,1.83,1.97,2016
Punjab Kings,Sunrisers Hyderabad,2.30,1.61,2016
Kolkata Knight Riders,Rising Pune Supergiant,1.67,2.20,2016
Royal Challengers Bengaluru,Gujarat Lions,1.76,2.05,2016
Mumbai Indians,Punjab Kings,1.62,2.28,2016
Sunrisers Hyderabad,Delhi Capitals,1.69,2.17,2016
Royal Challengers Bengaluru,Mumbai Indians,1.77,2.05,2016
Rising Pune Supergiant,Sunrisers Hyderabad,2.10,1.72,2016
Punjab Kings,Royal Challengers Bengaluru,2.30,1.61,2016
Kolkata Knight Riders,Gujarat Lions,1.90,1.90,2016
Punjab Kings,Delhi Capitals,2.20,1.66,2016
Royal Challengers Bengaluru,Rising Pune Supergiant,1.60,2.31,2016
Sunrisers Hyderabad,Gujarat Lions,1.84,1.94,2016
Delhi Capitals,Rising Pune Supergiant,2.20,1.67,2016
Kolkata Knight Riders,Punjab Kings,1.60,2.33,2016
Gujarat Lions,Delhi Capitals,1.62,2.30,2016
Royal Challengers Bengaluru,Kolkata Knight Riders,1.69,2.17,2016
Rising Pune Supergiant,Mumbai Indians,2.13,1.71,2016
Gujarat Lions,Punjab Kings,1.53,2.51,2016
Sunrisers Hyderabad,Royal Challengers Bengaluru,2.26,1.63,2016
Delhi Capitals,Kolkata Knight Riders,2.22,1.65,2016
Rising Pune Supergiant,Gujarat Lions,2.30,1.62,2016
Mumbai Indians,Kolkata Knight Riders,1.76,2.05,2016
Delhi Capitals,Gujarat Lions,2.00,1.80,2016
Sunrisers Hyderabad,Rising Pune Supergiant,1.88,1.93,2016
Punjab Kings,Mumbai Indians,2.20,1.66,2016
Rising Pune Supergiant,Kolkata Knight Riders,2.10,1.73,2016
Gujarat Lions,Royal Challengers Bengaluru,2.05,1.77,2016
Sunrisers Hyderabad,Punjab Kings,1.63,2.25,2016
Delhi Capitals,Mumbai Indians,2.38,1.57,2016
Rising Pune Supergiant,Royal Challengers Bengaluru,1.80,2.00,2016
Gujarat Lions,Sunrisers Hyderabad,1.73,2.10,2016
Mumbai Indians,Royal Challengers Bengaluru,1.80,2.00,2016
Punjab Kings,Kolkata Knight Riders,2.20,1.67,2016
Sunrisers Hyderabad,Mumbai Indians,2.05,1.77,2016
Royal Challengers Bengaluru,Delhi Capitals,1.39,2.99,2016
Punjab Kings,Rising Pune Supergiant,2.27,1.62,2016
Mumbai Indians,Gujarat Lions,1.90,1.90,2016
Sunrisers Hyderabad,Kolkata Knight Riders,2.17,1.69,2016
Delhi Capitals,Punjab Kings,1.95,1.85,2016
Gujarat Lions,Rising Pune Supergiant,1.90,1.90,2016
Kolkata Knight Riders,Mumbai Indians,1.90,1.85,2016
Royal Challengers Bengaluru,Sunrisers Hyderabad,1.47,2.69,2016
Punjab Kings,Gujarat Lions,2.20,1.67,2016
Kolkata Knight Riders,Delhi Capitals,1.52,2.56,2016
Mumbai Indians,Rising Pune Supergiant,1.75,2.07,2016
Mumbai Indians,Chennai Super Kings,2.12,1.76,2015
Chennai Super Kings,Royal Challengers Bengaluru,2.00,1.81,2015
Royal Challengers Bengaluru,Rajasthan Royals,1.57,2.38,2015
Chennai Super Kings,Mumbai Indians,1.76,2.08,2015
Sunrisers Hyderabad,Mumbai Indians,1.87,1.93,2015
Royal Challengers Bengaluru,Delhi Capitals,1.40,2.96,2015
Rajasthan Royals,Kolkata Knight Riders,2.10,1.73,2015
Punjab Kings,Chennai Super Kings,2.60,1.51,2015
Sunrisers Hyderabad,Royal Challengers Bengaluru,2.38,1.58,2015
Mumbai Indians,Kolkata Knight Riders,1.90,1.90,2015
Punjab Kings,Royal Challengers Bengaluru,2.84,1.43,2015
Delhi Capitals,Chennai Super Kings,2.88,1.43,2015
Sunrisers Hyderabad,Punjab Kings,1.64,2.25,2015
Chennai Super Kings,Rajasthan Royals,1.47,2.68,2015
Mumbai Indians,Royal Challengers Bengaluru,2.25,1.65,2015
Delhi Capitals,Sunrisers Hyderabad,2.10,1.73,2015
Kolkata Knight Riders,Punjab Kings,1.57,2.43,2015
Chennai Super Kings,Mumbai Indians,1.47,2.70,2015
Kolkata Knight Riders,Delhi Capitals,1.59,2.34,2015
Rajasthan Royals,Sunrisers Hyderabad,1.67,2.22,2015
Royal Challengers Bengaluru,Punjab Kings,1.56,2.43,2015
Mumbai Indians,Delhi Capitals,1.65,2.25,2015
Kolkata Knight Riders,Sunrisers Hyderabad,1.73,2.10,2015
Chennai Super Kings,Royal Challengers Bengaluru,1.62,2.28,2015
Rajasthan Royals,Delhi Capitals,1.77,2.05,2015
Punjab Kings,Mumbai Indians,1.79,2.02,2015
Sunrisers Hyderabad,Chennai Super Kings,2.79,1.44,2015
Royal Challengers Bengaluru,Kolkata Knight Riders,1.57,2.42,2015
Mumbai Indians,Rajasthan Royals,1.92,1.90,2015
Delhi Capitals,Punjab Kings,2.07,1.78,2015
Kolkata Knight Riders,Chennai Super Kings,2.47,1.54,2015
Royal Challengers Bengaluru,Rajasthan Royals,1.60,2.34,2015
Chennai Super Kings,Kolkata Knight Riders,1.47,2.70,2015
Punjab Kings,Sunrisers Hyderabad,1.59,2.33,2015
Delhi Capitals,Royal Challengers Bengaluru,2.44,1.55,2015
Kolkata Knight Riders,Rajasthan Royals,1.82,1.98,2015
Chennai Super Kings,Punjab Kings,1.57,2.38,2015
Mumbai Indians,Sunrisers Hyderabad,1.77,2.03,2015
Rajasthan Royals,Royal Challengers Bengaluru,2.00,1.81,2015
Delhi Capitals,Mumbai Indians,2.10,1.73,2015
Royal Challengers Bengaluru,Chennai Super Kings,2.17,1.70,2015
Sunrisers Hyderabad,Kolkata Knight Riders,2.25,1.61,2015
Rajasthan Royals,Punjab Kings,2.00,1.81,2015
Delhi Capitals,Kolkata Knight Riders,2.28,1.63,2015
Royal Challengers Bengaluru,Mumbai Indians,1.57,2.38,2015
Rajasthan Royals,Chennai Super Kings,2.67,1.47,2015
Punjab Kings,Kolkata Knight Riders,1.83,1.98,2015
Sunrisers Hyderabad,Delhi Capitals,1.76,2.05,2015
Mumbai Indians,Chennai Super Kings,2.66,1.48,2015
Sunrisers Hyderabad,Rajasthan Royals,1.97,1.83,2015
Punjab Kings,Delhi Capitals,1.43,2.84,2015
Rajasthan Royals,Mumbai Indians,1.84,1.97,2015
Royal Challengers Bengaluru,Sunrisers Hyderabad,1.41,2.90,2015
Mumbai Indians,Punjab Kings,2.02,1.80,2015
Delhi Capitals,Rajasthan Royals,2.00,1.81,2015
Kolkata Knight Riders,Royal Challengers Bengaluru,2.05,1.77,2015
Chennai Super Kings,Sunrisers Hyderabad,1.40,2.94,2015
Punjab Kings,Rajasthan Royals,1.42,2.87,2015
Chennai Super Kings,Delhi Capitals,1.33,3.40,2015
Kolkata Knight Riders,Mumbai Indians,1.73,2.10,2015
Kolkata Knight Riders,Punjab Kings,2.17,1.73,2014
Chennai Super Kings,Punjab Kings,1.75,2.09,2014
Chennai Super Kings,Mumbai Indians,1.75,2.07,2014
Mumbai Indians,Rajasthan Royals,1.66,2.20,2014
Punjab Kings,Delhi Capitals,1.53,2.54,2014
Kolkata Knight Riders,Sunrisers Hyderabad,1.69,2.18,2014
Royal Challengers Bengaluru,Chennai Super Kings,2.15,1.69,2014
Punjab Kings,Rajasthan Royals,1.73,2.10,2014
Mumbai Indians,Delhi Capitals,1.54,2.50,2014
Chennai Super Kings,Sunrisers Hyderabad,1.67,2.20,2014
Kolkata Knight Riders,Royal Challengers Bengaluru,2.02,1.79,2014
Punjab Kings,Mumbai Indians,1.63,2.23,2014
Kolkata Knight Riders,Chennai Super Kings,2.23,1.64,2014
Sunrisers Hyderabad,Royal Challengers Bengaluru,2.33,1.60,2014
Delhi Capitals,Punjab Kings,2.63,1.50,2014
Rajasthan Royals,Mumbai Indians,1.78,2.05,2014
Sunrisers Hyderabad,Kolkata Knight Riders,1.87,1.95,2014
Chennai Super Kings,Royal Challengers Bengaluru,1.68,2.18,2014
Rajasthan Royals,Delhi Capitals,1.78,1.97,2014
Kolkata Knight Riders,Mumbai Indians,1.97,1.85,2014
Sunrisers Hyderabad,Punjab Kings,2.20,1.68,2014
Royal Challengers Bengaluru,Delhi Capitals,1.55,2.46,2014
Chennai Super Kings,Rajasthan Royals,1.56,2.32,2014
Sunrisers Hyderabad,Mumbai Indians,1.82,2.00,2014
Royal Challengers Bengaluru,Rajasthan Royals,1.61,2.34,2014
Punjab Kings,Kolkata Knight Riders,1.56,2.42,2014
Mumbai Indians,Chennai Super Kings,2.18,1.68,2014
Delhi Capitals,Sunrisers Hyderabad,2.27,1.64,2014
Royal Challengers Bengaluru,Punjab Kings,1.93,1.87,2014
Rajasthan Royals,Sunrisers Hyderabad,1.90,1.90,2014
Punjab Kings,Chennai Super Kings,2.20,1.68,2014
Delhi Capitals,Kolkata Knight Riders,1.85,1.94,2014
Mumbai Indians,Royal Challengers Bengaluru,2.22,1.67,2014
Delhi Capitals,Chennai Super Kings,2.61,1.50,2014
Rajasthan Royals,Kolkata Knight Riders,1.82,1.98,2014
Royal Challengers Bengaluru,Sunrisers Hyderabad,1.69,2.17,2014
Delhi Capitals,Rajasthan Royals,1.89,1.90,2014
Mumbai Indians,Punjab Kings,2.14,1.71,2014
Chennai Super Kings,Kolkata Knight Riders,1.55,2.47,2014
Mumbai Indians,Sunrisers Hyderabad,2.00,1.80,2014
Kolkata Knight Riders,Rajasthan Royals,1.80,1.97,2014
Royal Challengers Bengaluru,Punjab Kings,1.82,1.97,2014
Sunrisers Hyderabad,Chennai Super Kings,2.22,1.68,2014
Delhi Capitals,Mumbai Indians,2.12,1.71,2014
Punjab Kings,Kolkata Knight Riders,1.84,1.91,2014
Rajasthan Royals,Royal Challengers Bengaluru,2.46,1.55,2014
Chennai Super Kings,Mumbai Indians,1.60,2.32,2014
Sunrisers Hyderabad,Delhi Capitals,1.68,2.20,2014
Royal Challengers Bengaluru,Kolkata Knight Riders,1.61,2.28,2014
Rajasthan Royals,Chennai Super Kings,2.53,1.52,2014
Punjab Kings,Sunrisers Hyderabad,1.89,1.92,2014
Chennai Super Kings,Delhi Capitals,1.53,2.46,2014
Rajasthan Royals,Punjab Kings,2.32,1.61,2014
Kolkata Knight Riders,Delhi Capitals,1.63,2.23,2014
Royal Challengers Bengaluru,Mumbai Indians,1.68,2.17,2014
Sunrisers Hyderabad,Rajasthan Royals,1.58,2.37,2014
Chennai Super Kings,Punjab Kings,1.64,2.25,2014
Delhi Capitals,Royal Challengers Bengaluru,2.56,1.52,2014
Mumbai Indians,Kolkata Knight Riders,1.69,2.15,2014
Chennai Super Kings,Mumbai Indians,1.81,1.98,2013
Mumbai Indians,Rajasthan Royals,1.61,2.27,2013
Rajasthan Royals,Sunrisers Hyderabad,1.75,2.04,2013
Chennai Super Kings,Mumbai Indians,1.76,2.01,2013
Sunrisers Hyderabad,Kolkata Knight Riders,1.70,2.11,2013
Pune Warriors India,Delhi Capitals,1.99,1.78,2013
Royal Challengers Bengaluru,Chennai Super Kings,1.81,1.96,2013
Punjab Kings,Mumbai Indians,2.30,1.59,2013
Sunrisers Hyderabad,Rajasthan Royals,1.97,1.81,2013
Punjab Kings,Delhi Capitals,1.80,1.99,2013
Mumbai Indians,Rajasthan Royals,1.63,2.22,2013
Kolkata Knight Riders,Pune Warriors India,1.40,2.89,2013
Chennai Super Kings,Delhi Capitals,1.41,2.81,2013
Royal Challengers Bengaluru,Punjab Kings,1.42,2.76,2013
Mumbai Indians,Sunrisers Hyderabad,1.44,2.71,2013
Rajasthan Royals,Chennai Super Kings,2.13,1.69,2013
Kolkata Knight Riders,Royal Challengers Bengaluru,2.25,1.61,2013
Punjab Kings,Sunrisers Hyderabad,1.63,2.25,2013
Pune Warriors India,Mumbai Indians,2.66,1.44,2013
Delhi Capitals,Royal Challengers Bengaluru,2.50,1.52,2013
Pune Warriors India,Kolkata Knight Riders,2.16,1.66,2013
Punjab Kings,Rajasthan Royals,2.05,1.76,2013
Sunrisers Hyderabad,Chennai Super Kings,2.20,1.63,2013
Mumbai Indians,Kolkata Knight Riders,1.61,2.23,2013
Rajasthan Royals,Delhi Capitals,1.64,2.18,2013
Punjab Kings,Royal Challengers Bengaluru,2.33,1.57,2013
Rajasthan Royals,Pune Warriors India,1.58,2.31,2013
Mumbai Indians,Chennai Super Kings,2.01,1.76,2013
Sunrisers Hyderabad,Delhi Capitals,2.01,1.77,2013
Kolkata Knight Riders,Rajasthan Royals,1.69,2.12,2013
Pune Warriors India,Royal Challengers Bengaluru,2.36,1.56,2013
Chennai Super Kings,Punjab Kings,1.49,2.55,2013
Delhi Capitals,Kolkata Knight Riders,2.06,1.73,2013
Sunrisers Hyderabad,Mumbai Indians,2.29,1.61,2013
Pune Warriors India,Chennai Super Kings,2.29,1.59,2013
Mumbai Indians,Punjab Kings,1.48,2.56,2013
Rajasthan Royals,Royal Challengers Bengaluru,2.14,1.67,2013
Delhi Capitals,Pune Warriors India,1.69,2.11,2013
Chennai Super Kings,Kolkata Knight Riders,1.67,2.13,2013
Mumbai Indians,Royal Challengers Bengaluru,1.94,1.83,2013
Rajasthan Royals,Sunrisers Hyderabad,1.63,2.20,2013
Kolkata Knight Riders,Punjab Kings,1.54,2.42,2013
Chennai Super Kings,Sunrisers Hyderabad,1.43,2.71,2013
Kolkata Knight Riders,Mumbai Indians,2.04,1.74,2013
Delhi Capitals,Punjab Kings,1.60,2.27,2013
Royal Challengers Bengaluru,Pune Warriors India,1.58,2.29,2013
Chennai Super Kings,Rajasthan Royals,1.53,2.42,2013
Punjab Kings,Pune Warriors India,2.04,1.73,2013
Delhi Capitals,Mumbai Indians,2.26,1.60,2013
Royal Challengers Bengaluru,Rajasthan Royals,1.56,2.34,2013
Kolkata Knight Riders,Chennai Super Kings,2.10,1.70,2013
Sunrisers Hyderabad,Punjab Kings,1.90,1.90,2013
Delhi Capitals,Chennai Super Kings,2.18,1.65,2013
Rajasthan Royals,Mumbai Indians,2.51,1.50,2013
Pune Warriors India,Sunrisers Hyderabad,1.48,2.58,2013
Royal Challengers Bengaluru,Delhi Capitals,1.55,2.31,2013
Punjab Kings,Kolkata Knight Riders,2.52,1.48,2013
Chennai Super Kings,Pune Warriors India,1.41,2.73,2013
Rajasthan Royals,Punjab Kings,1.62,2.21,2013
Kolkata Knight Riders,Sunrisers Hyderabad,1.51,2.46,2013
Chennai Super Kings,Royal Challengers Bengaluru,1.67,2.12,2013
Mumbai Indians,Pune Warriors India,1.56,2.32,2013
Delhi Capitals,Sunrisers Hyderabad,1.54,2.36,2013
Pune Warriors India,Rajasthan Royals,1.60,2.23,2013
Royal Challengers Bengaluru,Kolkata Knight Riders,1.59,2.30,2013
Punjab Kings,Chennai Super Kings,2.47,1.51,2013
Mumbai Indians,Delhi Capitals,1.64,2.15,2013
Royal Challengers Bengaluru,Sunrisers Hyderabad,1.40,2.88,2013
Rajasthan Royals,Kolkata Knight Riders,2.15,1.68,2013
Sunrisers Hyderabad,Royal Challengers Bengaluru,2.56,1.50,2013
Pune Warriors India,Punjab Kings,1.65,2.18,2013
Chennai Super Kings,Mumbai Indians,1.67,2.13,2013
Delhi Capitals,Rajasthan Royals,1.59,2.31,2013
Sunrisers Hyderabad,Pune Warriors India,2.20,1.63,2013
Royal Challengers Bengaluru,Mumbai Indians,1.80,1.95,2013
Kolkata Knight Riders,Delhi Capitals,1.58,2.29,2013
Chennai Super Kings,Kolkata Knight Riders,1.73,2.03,2012
Chennai Super Kings,Delhi Capitals,1.80,1.95,2012
Mumbai Indians,Chennai Super Kings,1.80,1.95,2012
Delhi Capitals,Kolkata Knight Riders,1.80,1.95,2012
Rajasthan Royals,Mumbai Indians,2.27,1.59,2012
Deccan Chargers,Royal Challengers Bengaluru,2.68,1.44,2012
Kolkata Knight Riders,Pune Warriors India,1.57,2.31,2012
Punjab Kings,Delhi Capitals,2.20,1.63,2012
Deccan Chargers,Rajasthan Royals,2.33,1.56,2012
Delhi Capitals,Royal Challengers Bengaluru,1.93,1.83,2012
Punjab Kings,Chennai Super Kings,2.29,1.59,2012
Mumbai Indians,Kolkata Knight Riders,1.71,2.05,2012
Delhi Capitals,Punjab Kings,1.52,2.45,2012
Kolkata Knight Riders,Chennai Super Kings,1.98,1.79,2012
Punjab Kings,Deccan Chargers,1.63,2.20,2012
Rajasthan Royals,Pune Warriors India,1.59,2.29,2012
Chennai Super Kings,Delhi Capitals,1.92,1.83,2012
